dt,oil,al,zn,cu,cotton,au,ag,lumber,nasdaq,sp_500,dow_jones,ipsa,total_UCI,cyber,cyber_pct_mes,numero_de_lunes,numero_de_fines_de_semana,feriados,feriados_irrenunciables,feriados_optativos,dias_del_mes,rel_fer_irr,FOB_competencia,CIF_competencia,clp_usd,csi300_china,ipc_sin_volatiles_mensual,ipc_sin_volatiles_anual,tpm,tasa_interbancaria,tasa_int_prom_consumo,tasa_int_prom_com,tasa_int_prom_vivienda,tasas_int_promedio_sis_financiero,imacec,imacec_no_minero,imce_construccion,imce_industria,imce_total,exp_consumidor,desempleo,tasa_desempleo,china_desocupacion,desempleo_eeuu,desempleo_euro,ocupados_en_la_construccion,ocupados_mensual,ind_avisos_laborales,ind_remuneraciones,fuerza_trabajo_total,pob_15_mas,exp_trabajo,permisos_edificacion,numero_permisos_vivienda,permisos_vivienda,permisos_icf,permisos_servicios,imacon,var_imacon,cobre_fob,hierro_fob,plata_fob,oro_fob,molibdeno_fob,litio_fob,sal_fob,precio_gasolina_eeuu,precio_diesel,precio_gas_natural,precio_kerosene,precio_propano,precio_litio,colocaciones,colocaciones_comerciales,colocaciones_consumo,colocacione_vivienda,tasa_int_ex_pol_monetaria_china,tasa_int_ex_pol_monetaria_eeuu,tasa_int_ex_pol_monetaria_zoneuro,bono_gob_10y_chile,bono_gob_10y_eeuu,bono_gob_10y_zoneuro,spread_embi_chile,spread_embi_china,spread_embi_europa,spread_embi_global,incertidumbre_politica_economica_chile,incertidumbre_politica_economica_china,incertidumbre_politica_economica_eeuu,incertidumbre_politica_economica_europa,incertidumbre_politica_economica_global,exp_economica,inflacion_china_var,inflacion_eeuu_var,inflacion_euro_var,inflacion_china_excluye_alimentos_energia_var,inflacion_eeuu_excluye_alimentos_energia_var,inflacion_euro_excluye_alimentos_energia_var,exp_inversion,gscpi,imacec_costo_factores,imp_sobre_productos,ventas_viviendas_nuevas_nacionales,ventas_viviendas_nuevas_gran_santiago,transferencias_corrientes_netas,ingreso_disponible_bruto_ajustado,consumo_final_efectivo,variacion_neta_fondos_pensiones,ahorro_bruto,ahorro_previsional,ahorro_no_previsional,deuda,deuda_bancaria_hipotecaria,deuda_bancaria_consumo,deuda_no_bancaria,consumo_hogar_ipsfl,bienes_durables,bienos_no_durables,gastos,subsidios_donaciones,ipv_general,ipv_casas,ipv_departamentos,sku_apuestas_comerciales,sku_puntos_promocionales,sku_serie_tv,movilidad,Norte_prcp,Norte_tavg,Norte_wspd,Centro_prcp,Centro_tavg,Centro_wspd,Sur_prcp,Sur_tavg,Sur_wspd,ExtremoSur_prcp,ExtremoSur_tavg,ExtremoSur_wspd,Invierno,Primavera,Verano,Otono,Navidad,Fiestas_patrias,Dia_mama,Back_to_school,Dia_del_padre,Pandemia,Post_Pandemia,Retiros,Sismos,Incendios,Guerra_RU_UA,Guerra_Comercial_USA,Estallido_Social,Guerra_Medio_Oriente,gse_AB,gse_C1a,gse_C1b,gse_C2,gse_C3,gse_D,gse_E,num_partidos,total_turistas,IAC_Ferreteria_Mayorista,IAC_Ferreteria_Minorista,IAC_Electricos_y_Hogar,IAC_maquinaria_equipo_materiales
2017-01-01,52.81,0.8248638838475499,1.3008166969147006,2.7745,74.97,1212.8159371492707,17.555055559165638,0.14972776769509982,5614.79,2278.87,19864.09,4199.5,0.0,0,0,5,9,2,2,0,31,6.451612903225806,26014808.16,28891752.57,661.194285714286,3349.0,0.368022023,3.314233935,3.5,3.5,23.04,7.88,3.62,1.46,92.487585800536,92.663595040355,25.0,41.61,44.88,56.35824613339652,6.3693701245487,6.4,5.2,4.7,9.5,730003.2835,8534.6,100.0,94.5,9115.1,14591.3,51.819868097431645,1229075.0,11842.0,919998.0,200217.0,108860.0,110.63,3.192456821571432,2372.182886,99.505775,20.943807,60.358057,13.004495,53.522009,9.023926,419.0212,1.5874,3.2608,388.79672,0.75888,13.75014422932093,145948.448881501,79954.534321475,17174.982062341,39981.129413427,4.35,0.75,-0.4,4.16726845005453,2.42627272727273,0.349090909090909,150.05,128.9415,271.4,353.678,158.48,306.037496,195.04,320.02,259.04,72.06982495445116,2.5,2.5,1.7,2.2,2.3,0.9,54.169745477630755,0.16813908692483595,92.77,89.98,14914.5,8014.833333333334,486.7402833333333,32612.256133333336,31794.5026,1757.8474500000002,2575.6009999999997,2534.3044833333333,41.296433333333326,68.6755,36.058049999999994,18.277816666666666,14.33955,28946.8661805155,2672.601837168283,12724.0802830785,31248403.910975333,9945166.510028332,169.035081383576,168.111753388068,169.94115429082834,4099,46,17,0.0,0.0,23.95,11.943548387096774,0.0,19.383870967741935,10.753333333333334,0.2945652173913043,18.376612903225805,12.7997311827957,1.4880952380952381,12.72741935483871,29.1,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,2,964027,94.6651679287261,101.65293710690356,92.68183028650087,81.08623563124847
2017-02-01,54.01,0.8734119782214156,1.27994555353902,2.776,76.31,1246.553066037736,18.294859813084113,0.16624319419237749,5825.44,2363.64,20812.24,4359.88,0.0,0,0,4,8,0,0,0,28,0.0,21274066.330000002,23680902.0,643.2095,3430.2,0.319418376,3.192644561,3.25,3.2,23.34,8.84,3.55,1.75,89.06691164338,90.143486943735,23.9864864349365,45.56,45.98,56.35824613339652,6.7713485956733,6.8,5.4,4.6,9.4,736823.5143,8485.7,90.6,93.9,9102.0,14612.6,51.819868097431645,1062269.0,9028.0,711092.0,260014.0,91163.0,109.19,0.05470439467800681,1985.691109,68.453212,14.881037,40.094701,16.742961,57.485831,14.142592,408.95518,1.6084,2.8233,394.68838,0.77076,13.75014422932093,146633.144141758,80161.874087739,17240.200687093,40304.226628698,4.35,0.75,-0.4,4.15221828533378,2.41625,0.31885,131.736842105263,122.215263157895,258.526315789474,337.841578947368,145.83,176.3995805,177.78,237.07,196.53,72.06982495445116,0.8,2.7,2.0,1.8,2.2,0.8,54.169745477630755,0.1509168689341576,89.27,87.26,14855.0,7876.666666666667,495.92096666666663,32206.24326666667,31421.257800000003,1761.0186999999999,2546.0042,2545.848566666667,0.1555666666666582,68.8073,36.1365,18.282733333333333,14.388,28589.568748422,2627.5711364604667,12538.999373345001,26801594.361950666,8460163.020056667,169.77618566475502,167.988902447924,171.53585638558766,4099,46,17,0.0,0.0,23.480357142857144,11.841071428571428,0.0,19.37142857142857,9.314285714285715,1.7910714285714284,18.273214285714285,11.911309523809523,1.2142857142857142,13.964285714285714,23.646428571428572,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,0,709043,92.05103547877083,93.18889740324967,87.98184636826561,77.99821417954941
2017-03-01,50.6,0.8912205081669692,1.2558983666061705,2.742,77.33,1249.285714285714,18.259909632368043,0.17304900181488203,5911.74,2362.72,20663.22,4783.42,0.0,0,0,4,8,0,0,0,31,0.0,17122109.9,18688529.73,661.202608695652,3454.5,0.584358618,2.986917039,3.13,3.14,22.02,8.18,3.47,1.87,100.35307404534,102.28587145717,25.3246746063232,43.41,45.12,56.35824613339652,7.0402289496768,7.0,5.2,4.4,9.4,750698.4555,8484.4,98.8,94.4,9127.0,14633.8,51.819868097431645,1473377.0,14199.0,1078967.0,278874.0,115536.0,108.79,-0.7917393552458463,2288.247627,91.434381,22.514589,57.243199,21.760297,42.828185,15.479935,402.45586,1.5001,2.8875,364.96588,0.61902,13.75014422932093,147665.460421348,80355.756958407,17405.835928021,40749.195159908,4.35,0.89,-0.4,4.20119793635633,2.48004347826087,0.393347826086957,132.434782608696,116.843913043478,252.608695652174,329.267391304348,129.24,349.0531329,154.61,267.07,228.09,72.06982495445116,0.9,2.4,1.5,2.0,2.0,0.7,54.169745477630755,0.07574929417141203,100.41,99.87,14736.0,7600.333333333333,514.2823333333332,31394.217533333333,30674.768200000002,1767.3612,2486.8106000000002,2568.9367333333334,-82.12616666666668,69.07090000000001,36.2934,18.292566666666666,14.484900000000001,27874.973884235,2537.5097350448336,12168.837553878,17907975.263901334,5490156.040113334,170.517289945934,167.86605150778,173.130558480347,4099,46,17,0.0,0.0,21.862903225806452,11.411290322580646,0.0,17.61935483870968,8.816129032258065,1.8266129032258065,14.966129032258063,9.909408602150538,0.5790322580645161,11.283870967741937,19.748387096774195,0.0,0.0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,2,521123,108.88101585063342,104.70367789913732,103.65125602419671,101.08377682338374
2017-04-01,49.33,0.8671733212341198,1.1903357531760435,2.681,78.77,1270.071012805588,17.249960471808496,0.1723230490018149,6047.61,2384.2,20940.51,4795.13,0.0,0,0,4,10,4,1,3,30,3.3333333333333335,13534590.709999999,14622836.059999999,655.743333333333,3477.2,0.477543176,2.897393404,2.88,2.87,22.83,7.48,3.42,1.74,95.345690542264,96.243721290732,22.1428565979004,41.09,44.11,56.20797982865291,7.0779779734202,7.1,5.0,4.4,9.2,744699.3954,8499.9,87.1,93.9,9147.4,14655.2,53.61773568687648,1100104.0,9448.0,790437.0,248752.0,60915.0,107.42,-3.842115204374208,2220.521247,74.299944,36.654017,62.675664,11.422112,79.471239,7.248472,427.31708,1.5575,3.082,373.89584,0.65125,13.750018683253824,149268.994252615,81360.19443743,17461.694191488,41064.785138507,4.35,1.0,-0.4,3.9007399301343,2.2863,0.24905,136.526315789474,120.755789473684,249.578947368421,330.805263157895,115.47,174.1927712,157.68,249.22,175.51,72.680406761009,1.2,2.2,1.9,2.1,1.9,1.3,52.72065748722799,0.005021777056402378,95.67,92.51,14739.555555555555,7488.444444444444,517.5802,31031.210455555556,30339.59627777778,1790.9517888888888,2482.5660444444447,2602.565788888889,-119.99975555555557,69.37706666666668,36.48475555555555,18.32967777777778,14.562622222222222,27484.550588103888,2482.2696462388667,11917.152951072889,11995994.422970556,3579115.120154556,171.02961982863735,168.35332804593367,173.66750581925865,6950,46,17,0.0,0.0,19.505,10.443333333333333,0.0,16.168333333333333,8.523333333333333,2.8288888888888892,13.484166666666665,8.523611111111112,1.3666666666666667,8.556666666666667,21.053333333333335,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,0,469626,89.65419104064588,90.06708305943384,90.74868623482247,78.5258670719821
2017-05-01,48.32,0.8746597096188747,1.1796733212341197,2.6575,76.93,1268.8860045146728,17.347400743746817,0.15657894736842107,6198.52,2411.8,21008.65,4855.75,0.0,1,3,5,8,2,1,1,31,3.225806451612903,14775468.31,16275061.620000001,671.539545454546,3408.8,0.105914623,2.861425702,2.65,2.65,21.88,7.03,3.36,1.41,96.953322592751,97.28022225898,24.2063484191895,42.32,44.93,56.45752528396049,7.326344790601,7.3,5.032967032967033,4.4,9.2,735119.0477,8535.2,92.2,93.9,9210.0,14676.4,52.9560556283638,1610981.0,15259.0,1176053.0,325853.0,109075.0,107.61,-2.3202365802606484,2671.710871,60.546277,36.557247,67.327928,16.540103,60.768392,11.298898,400.50078,1.478,3.1248,354.89986,0.64083,14.068844075348773,148795.307956832,80590.029678218,17453.945880089,41467.190892317,4.35,1.0,-0.4,4.02683590255065,2.298,0.374652173913044,132.818181818182,120.040909090909,237.045454545455,320.183636363636,94.15,130.7553519,129.89,197.59,160.82,70.71496837444924,1.5,1.9,1.4,2.1,1.7,0.9,54.27077165732416,-0.13944032266918469,97.26,94.31,14865.666666666666,7541.0,505.8145666666666,31117.222033333335,30415.742033333332,1831.7904666666666,2533.270533333334,2646.735733333333,-113.46520000000002,69.7258,36.710566666666665,18.394066666666664,14.621166666666666,27418.298860028666,2461.8508700425664,11783.945564929665,9065651.839158332,2727040.260180333,171.54194971134066,168.84060458408734,174.20445315817034,6008,79,20,0.0,0.0,18.585483870967742,10.938709677419356,3.548275862068966,14.26290322580645,7.008064516129032,4.636827956989247,9.862903225806452,10.626075268817205,1.29,6.253225806451613,20.916129032258063,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,0,357953,101.61444253026333,98.5103080287736,103.00531861033855,89.04489192545297
2017-06-01,46.04,0.8709165154264973,1.2536297640653358,2.769,68.65,1241.448425624321,16.62194891476587,0.16601633393829401,6140.42,2423.41,21349.63,4747.24,0.0,0,0,4,8,2,0,2,30,0.0,18021240.22,19929169.849999998,665.153333333333,3571.9,0.02034628,2.67646635,2.5,2.5,22.2,7.25,3.29,0.95,94.127715176729,94.47037936787,21.875,40.4,43.2,58.3020157535384,7.3125193579654,7.3,5.067032967032967,4.3,9.1,722305.9392,8524.1,93.3,94.6,9196.6,14697.7,56.164728292519136,1653120.0,15582.0,1205419.0,248995.0,198706.0,106.82,-2.6662536048000174,2900.209596,90.273992,26.077624,44.004507,5.90119,41.352464,10.357901,378.09662,1.3849,2.941,327.05318,0.59233,14.587725345404577,149123.113006463,80890.061750957,17492.822575036,41831.585774322,4.35,1.15,-0.4,4.01015370223775,2.18559090909091,0.291909090909091,131.636363636364,117.692727272727,240.318181818182,324.394090909091,99.35,227.6597283,120.64,274.39,164.77,72.62480758869198,1.5,1.6,1.3,2.2,1.7,1.2,55.36417028089045,0.09306101259940976,94.3,92.64,15114.333333333334,7758.0,478.9854333333333,31652.252266666666,30903.205466666666,1889.8772333333334,2638.924066666667,2701.446566666667,-62.52250000000001,70.1171,36.97083333333333,18.485733333333332,14.660533333333333,27676.21870000933,2476.253406455933,11769.215395448335,9116947.512464667,2933931.460190667,172.054279594044,169.327881122241,174.741400497082,7218,80,20,0.0,0.36379310344827587,16.988333333333333,10.417241379310346,1.5413793103448274,12.805,8.331666666666667,4.9383333333333335,8.595,11.158045977011493,2.3586206896551727,2.67,23.26551724137931,0.5,0.0,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,7,322568,92.58721717860212,88.00587517093278,92.66590488122446,92.64721557840892
2017-07-01,50.17,0.8687613430127041,1.2695099818511797,2.9775,68.93,1267.518756698821,16.80252053081754,0.17164246823956444,6348.12,2470.3,21891.12,5064.62,0.0,0,0,5,10,2,1,1,31,3.225806451612903,16427632.459999999,18487543.4,658.171428571428,3690.3,0.102781809,2.518747205,2.5,2.5,22.01,7.08,3.2,1.22,90.907381457549,90.57804280981,26.3698635101318,41.4,42.41,56.309163000634285,7.2167784939905,7.2,5.1,4.3,9.1,715961.9522,8537.4,94.5,95.3,9201.4,14718.9,54.68452266383459,1189894.0,9877.0,797724.0,297550.0,94620.0,108.8,0.257921241412995,2645.503992,96.560609,25.464002,79.28837,11.917892,42.717013,7.28243,401.63684,1.4877,2.958,351.62378,0.65545,14.375545897844006,149051.782540217,80745.533730529,17509.462054401,41994.570849487,4.35,1.25,-0.4,4.22101685466905,2.31571428571429,0.542571428571428,131.1,115.187,242.85,327.2605,111.62,228.2414925,141.14,181.42,143.04,70.74781098849672,1.4,1.7,1.3,2.1,1.7,1.2,53.36166151703319,0.08754454917284439,90.77,92.12,15300.111111111111,7932.88888888889,455.08476666666667,32004.05178888889,31203.011333333332,1905.0049666666666,2706.045433333333,2721.511722222222,-15.466277777777778,70.47568888888888,37.20715555555555,18.555444444444444,14.713088888888889,27838.825324637222,2491.059473957222,11766.129725325669,9250324.601216221,3075135.0189130004,173.11599578658866,171.041778375367,175.163292467659,10955,118,28,0.0,0.02903225806451613,16.241935483870968,10.619354838709677,0.0,11.901612903225805,6.758064516129032,2.1158602150537633,7.959677419354839,11.377777777777776,3.7516129032258063,4.682258064516129,24.076666666666664,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,1,491167,95.55984404595458,90.28363492911889,94.6836678916145,87.8560895694782
2017-08-01,47.23,0.9600725952813067,1.433529945553539,3.165,71.0,1320.7616407982262,17.562128694626665,0.175,6428.66,2471.65,21948.1,5153.15,0.0,0,0,4,8,1,0,1,31,0.0,24271357.26,27128059.98,644.241818181818,3747.0,0.096108698,2.450963188,2.5,2.5,21.45,6.79,3.19,1.77,95.779130326951,95.377360745792,25.0,42.65,43.17,57.68339395345176,6.9075946714037,6.9,5.0495934959349595,4.4,9.0,709602.9837,8573.5,94.4,95.6,9209.7,14743.2,55.36761797025095,1411127.0,10651.0,912113.0,366099.0,132915.0,108.71,0.11189359885730443,3082.541143,126.361937,26.450352,51.802065,23.455658,60.449765,6.64822,434.50332,1.6021,2.884,374.45066,0.75876,14.390679175448271,149254.813090608,80903.17255912,17650.373072019,42289.814326703,4.35,1.25,-0.4,4.32837861329911,2.20552173913044,0.415260869565217,124.391304347826,111.998695652174,234.391304347826,325.174347826087,96.54,164.6848328,137.86,149.71,136.18,70.61603922567838,1.8,1.9,1.5,2.2,1.7,1.2,54.924344905302064,0.38585348506038186,95.82,95.42,15423.0,8065.666666666667,434.1125666666667,32172.6206,31315.159633333333,1877.1736666666666,2734.6346333333336,2706.9311999999995,27.703466666666667,70.80156666666666,37.419533333333334,18.6032,14.778833333333333,27906.11873391233,2506.269072546433,11774.688554561668,9465783.105413,3150650.9363473332,174.17771197913333,172.755675628493,175.58518443823598,11420,135,22,0.0,0.03225806451612903,16.088709677419356,12.2,0.19677419354838707,12.035483870967743,7.645161290322581,7.607258064516128,8.768548387096773,14.236021505376344,2.2564516129032257,5.048387096774194,26.506451612903227,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,1,480158,101.75542870530622,94.33399976750047,96.37013576892667,88.13159890948712
2017-09-01,51.67,0.9525862068965517,1.436705989110708,3.039,68.42,1280.4853737811486,16.65240792402852,0.18248638838475498,6495.96,2519.36,22405.09,5341.93,0.0,0,0,4,9,2,2,0,30,6.666666666666667,23070503.38,25539055.21,625.541578947369,3834.2,-0.02700773,2.351108492,2.5,2.5,22.06,6.9,3.2,1.7,92.872063668829,92.260678854858,33.3333320617676,44.29,48.26,58.049177372725566,6.9952969791219,7.0,4.9991869918699186,4.2,8.9,705412.397,8613.1,83.7,95.9,9260.9,14770.2,55.88178918915953,983871.0,7871.0,652397.0,256987.0,74487.0,109.54,-0.7285272946253585,3275.4587424759,19.608653,19.597165,30.367208,15.481996,60.357032,7.499204,455.63932,1.7712,2.9639,415.1903,0.8872,13.418273406608968,150379.129708233,81675.130575802,17714.251498857,42703.934552378,4.35,1.25,-0.4,4.31787066917372,2.19766666666667,0.404952380952381,127.15,108.6825,224.3,313.558,96.22,206.3844492,116.62,205.77,151.45,71.70680508061295,1.6,2.2,1.6,2.3,1.7,1.2,55.47144268158497,0.5515296440870757,92.64,94.91,15483.0,8156.333333333333,416.0688333333333,32157.9587,31239.65036666667,1806.3833333333332,2724.691666666667,2657.705,66.98673333333333,71.09473333333334,37.60796666666666,18.629,14.857766666666665,27878.098927834668,2521.8822022235668,11794.891883156333,9763323.025055,3160479.212493667,175.239428171678,174.469572881619,176.007076408813,9266,196,23,0.0,0.008928571428571428,15.986666666666666,12.783333333333333,0.028571428571428574,12.948333333333332,8.160344827586208,3.9655172413793105,9.800833333333333,11.643055555555556,1.0413793103448277,6.861666666666666,19.103333333333335,0.5,0.5,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,1,442503,89.83077313674542,89.51543842382173,89.95645483921118,86.88593729487515
2017-10-01,54.38,0.979355716878403,1.4795825771324864,3.1805,68.55,1269.5882352941176,16.70199624539631,0.20798548094373864,6727.67,2575.26,23377.24,5588.08,0.0,0,0,5,9,4,0,4,31,0.0,19768225.9,21940022.73,629.5465,3943.3,0.319585701,2.532506131,2.5,2.5,21.65,6.67,3.26,1.35,98.048142306458,97.240079474525,35.9848480224609,46.79,48.96,54.54504252443324,6.984697394799,7.0,4.9504065040650405,4.1,8.8,701593.4286,8622.7,105.5,95.6,9270.2,14797.4,52.84039573519111,1015781.0,7791.0,673514.0,184667.0,157600.0,109.3,-1.5341789485063595,3292.5608948115,77.862945,29.584272,78.746996,22.273553,69.873857,10.465578,435.7979,1.7535,2.8638,413.7372,0.93939,13.74993266895212,150750.936896745,81711.342056031,17795.137613151,42952.962794418,4.35,1.25,-0.4,4.4885567963366,2.35713636363636,0.426227272727273,122.190476190476,100.618571428571,226.142857142857,305.885714285714,110.98,142.533602,125.87,227.23,144.33,67.59379233026647,1.9,2.0,1.4,2.3,1.8,0.9,52.2694013336224,0.7824584326121152,98.23,96.48,15483.0,8232.444444444443,414.00333333333333,32450.197655555556,31512.99831111111,1808.1223555555555,2745.3217000000004,2672.6795666666667,72.64221111111111,71.43553333333334,37.7874,18.648355555555558,14.999777777777778,28135.336939512,2579.913674231611,11977.546742059334,10004616.978445,3214077.194149111,177.13378025064867,176.758500491221,177.51441677464132,13793,170,20,0.0,0.016129032258064516,16.675806451612903,13.696774193548388,0.00967741935483871,13.783870967741937,9.483870967741936,4.509677419354839,11.420967741935485,13.16478494623656,1.8596774193548387,8.356451612903227,21.675806451612903,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,6.0,12.0,25.0,37.0,13.0,2,481782,101.30267745720879,97.60550728377822,93.87069585580214,97.80088945277622
